name,category,tags,price
Dayliff DS Solar Pump,Solar Pumps,"solar, pump, energy-efficient",45000
Dayliff DG Generator,Generators,"diesel, generator, power",120000
Dayliff Water Purifier,Water Treatment,"purifier, water, treatment",35000
Dayliff Submersible Pump,Submersible Pumps,"submersible, pump, water",75000
Dayliff Pool Pump,Swimming Pool Equipment,"pool, pump, water",65000
Dayliff Solar Heater,Solar Heaters,"solar, heater, hot water",55000
Dayliff Inverter,Solar Accessories,"solar, inverter, power",40000
Dayliff Pressure Booster,Booster Systems,"pressure, booster, water",80000
Dayliff Reverse Osmosis,Water Treatment,"reverse osmosis, purification",95000
Dayliff Rainwater Harvester,Water Harvesting,"rainwater, harvesting, storage",30000
